STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/25,54,43
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/26,54,36
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/27,56,34
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/28,63,35
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/29,57,40
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/30,52,39
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/31,44,40
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/1,57,38
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/2,65,35
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/3,64,42
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/4,67,46
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/5,75,44
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/6,71,53
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/7,72,47
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/8,65,53
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/9,73,52
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/10,74,51
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/11,67,53
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/12,63,41
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/13,71,40
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/14,62,47
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/15,55,43
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/16,77,40
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/17,80,48
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/18,72,59
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/19,74,52
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/20,78,45
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/21,81,49
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/22,85,52
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/23,77,60
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/24,74,49
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/25,84,56
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/26,90,53
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/27,79,57
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/28,65,50
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/29,80,54
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/4/30,89,55
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/1,79,62
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/2,63,50
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/3,66,47
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/4,80,50
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/5,86,54
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/6,84,59
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/7,85,59
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/8,79,62
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/9,74,59
